Year,Smoothing,TransectID,GAN_dist_m,GT_dist_m,GAN_is_multipoint,abs_error_m
2023,gaussian,24,,-365.30803229164303,True,
2023,gaussian,27,-433.5155104226434,-453.83839466935046,False,20.322884246707076
2023,gaussian,28,-445.61426826631543,-476.0985946379151,False,30.48432637159965
2023,gaussian,29,-467.8744575430245,-498.3587839146276,False,30.484326371603117
2023,gaussian,30,,,False,
2023,gaussian,32,,,False,
2023,gaussian,33,,,True,
2023,gaussian,35,,,True,
2023,gaussian,36,,326.61638706191536,True,
2023,gaussian,37,,196.61638835871736,True,
2023,gaussian,38,,,True,
2023,gaussian,40,-208.66600453760475,-246.1241780235432,True,37.45817348593846
2023,gaussian,41,-32.42962870251506,18.377581920327998,True,50.80721062284306
2023,gaussian,42,310.79922877118224,56.763175687752664,True,254.03605308342958
